stock_code,stock_name,datetime,date,candle_type,close_price,volume,vol_ma20,volume_ratio,price_change_pct,T+6_return,T+12_return,T+36_return,T+next_open_return
005930,Samsung,2026-02-25 10:50:00,2026-02-25,doji,203500.0,1182743,330856.75,3.57478878699014,0.0,0.002457002457002457,0.009828009828009828,0.007371007371007371,0.05896805896805897
005930,Samsung,2026-03-03 13:55:00,2026-03-03,bearish,197500.0,1073975,519139.6,2.0687595398232,0.0005060728744939271,0.01240506329113924,-0.006582278481012658,,-0.06734177215189874
005930,Samsung,2026-03-16 09:10:00,2026-03-16,bullish,187600.0,432600,197143.65,2.194339001027931,0.0005333333333333334,-0.007462686567164179,-0.010660980810234541,-0.01572494669509595,0.005863539445628998
005930,Samsung,2026-03-19 11:25:00,2026-03-19,doji,203500.0,363623,168090.05,2.1632630842813123,0.0,0.004914004914004914,0.0,-0.012285012285012284,-0.014742014742014743
005930,Samsung,2026-03-20 13:20:00,2026-03-20,bearish,199900.0,316618,117110.65,2.703579904987292,0.0005,-0.0005002501250625312,-0.0025012506253126563,,-0.0025012506253126563
005930,Samsung,2026-03-27 09:05:00,2026-03-27,bearish,175100.0,622512,252227.25,2.4680600529879304,0.0005707762557077625,-0.009708737864077669,-0.011422044545973729,-0.010850942318675044,0.026270702455739578
005930,Samsung,2026-04-01 14:40:00,2026-04-01,bullish,190100.0,696527,299432.9,2.326153872871017,0.0005263157894736842,-0.0005260389268805891,,,-0.0026301946344029457
005930,Samsung,2026-04-02 10:05:00,2026-04-02,bullish,189300.0,996303,424126.4,2.349070937343207,0.0007930214115781126,-0.03645007923930269,-0.05071315372424723,-0.05335446381405177,-0.05758055995773904
000660,SK Hynix,2026-02-26 13:10:00,2026-02-26,doji,1044000.0,41514,18952.45,2.190429205722743,0.0,0.0028735632183908046,0.004789272030651341,,0.05268199233716475
000660,SK Hynix,2026-02-27 09:10:00,2026-02-27,bullish,1075000.0,173717,72098.25,2.4094482182299846,0.000931098696461825,-0.012558139534883722,-0.01674418604651163,-0.0037209302325581397,-0.013023255813953489
000660,SK Hynix,2026-02-27 14:20:00,2026-02-27,bearish,1085000.0,65477,30520.45,2.1453484466972146,0.0009208103130755065,-0.003686635944700461,-0.011981566820276499,,-0.022119815668202765
000660,SK Hynix,2026-03-10 15:10:00,2026-03-10,bullish,943500.0,76696,37411.05,2.0500894789106425,0.0005302226935312832,,,,-0.005829358770535241
000660,SK Hynix,2026-03-13 09:05:00,2026-03-13,doji,892000.0,103354,33612.0,3.0749137212900153,0.0,0.01233183856502242,0.021300448430493273,0.033632286995515695,0.020179372197309416
000660,SK Hynix,2026-03-18 12:25:00,2026-03-18,bullish,1017000.0,40608,20204.1,2.0098890819190167,0.000984251968503937,0.0029498525073746312,-0.0019665683382497543,0.04129793510324484,0.038348082595870206
000660,SK Hynix,2026-03-23 15:05:00,2026-03-23,doji,931000.0,61511,26970.35,2.280689720378119,0.0,,,,0.0021482277121374865
000660,SK Hynix,2026-03-23 15:15:00,2026-03-23,bullish,929000.0,65958,32257.0,2.0447654772607495,0.0005385029617662897,,,,0.004305705059203444
000660,SK Hynix,2026-03-26 14:40:00,2026-03-26,doji,937000.0,57314,28611.65,2.003170037379878,0.0,-0.0032017075773745998,,,-0.004268943436499467
