stock,band,metric,pearson_r,pearson_p,spearman_r,spearman_p,abs_spearman
삼성전자,T3 (10:30-13:00),band_return,0.6923123267638894,6.304087344881071e-05,0.7214417961850188,2.171352470720056e-05,0.7214417961850188
SK하이닉스,T3 (10:30-13:00),band_return,0.6196103984267578,0.0005675937661090607,0.639902312446962,0.00032519299661191173,0.639902312446962
삼성전자,T4 (13:00-14:30),band_return,0.642314324907595,0.00030355777712233917,0.5932488785340382,0.0011081143415494169,0.5932488785340382
SK하이닉스,T5 (14:30-15:20),band_return,0.6637067692930698,0.00016051445378465772,0.5479389312977099,0.0030893190189566783,0.5479389312977099
SK하이닉스,T4 (13:00-14:30),band_return,0.510197081447854,0.006550145838859104,0.4704625302866262,0.013267029756453053,0.4704625302866262
삼성전자,T5 (14:30-15:20),band_return,0.49158119618028645,0.00921017808728649,0.41417234361849514,0.031731035247748056,0.41417234361849514
SK하이닉스,T2 (09:30-10:30),band_return,0.21890926739178487,0.27262613689102533,0.24285935037824943,0.22223853912121466,0.24285935037824943
삼성전자,T2 (09:30-10:30),band_return,0.25338273993782684,0.20222168739780727,0.2382407286301078,0.23143007501306354,0.2382407286301078
SK하이닉스,T1 (09:00-09:30),band_return,0.12541107245798994,0.5330951719498269,0.16577621930281508,0.40858914399092394,0.16577621930281508
삼성전자,T1 (09:00-09:30),band_return,0.016512404109965042,0.9348484404678122,-0.01588513989895468,0.9373185028589527,0.01588513989895468
삼성전자,T1 (09:00-09:30),vol_pct,,,,,
삼성전자,T2 (09:30-10:30),vol_pct,,,,,
삼성전자,T3 (10:30-13:00),vol_pct,,,,,
삼성전자,T4 (13:00-14:30),vol_pct,,,,,
삼성전자,T5 (14:30-15:20),vol_pct,,,,,
SK하이닉스,T1 (09:00-09:30),vol_pct,,,,,
SK하이닉스,T2 (09:30-10:30),vol_pct,,,,,
SK하이닉스,T3 (10:30-13:00),vol_pct,,,,,
SK하이닉스,T4 (13:00-14:30),vol_pct,,,,,
SK하이닉스,T5 (14:30-15:20),vol_pct,,,,,
